City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Ugoofaaru,MV,81.32,overcast clouds,5.67,73.0,Ungoofaaru Inn
460,Honiara,SB,84.2,broken clouds,-9.43,159.95,Heritage Park Hotel
463,Kimbe,PG,86.41,broken clouds,-5.55,150.14,Kimbe Bay Hotel
469,Ahuimanu,US,78.8,overcast clouds,21.44,-157.84,Paradise Bay Resort
470,Ambulu,ID,76.73,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
471,Pundaguitan,PH,78.73,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
472,Dzaoudzi,YT,82.4,clear sky,-12.79,45.27,Le Rocher
473,Gurun,MY,77.0,moderate rain,5.82,100.47,The Jerai Hill Resort
476,Buala,SB,85.73,scattered clouds,-8.14,159.59,Maringe Lagoon Lodge
479,San Jose De Ocoa,DO,75.99,broken clouds,18.55,-70.5,Hotel El Barcon
483,Hingatungan,PH,80.02,overcast clouds,10.58,125.19,Turkwel Lodge
491,Domoni,KM,80.2,overcast clouds,-12.26,44.53,Loulou
494,Fare,PF,81.09,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
503,Padang,ID,75.2,moderate rain,-0.95,100.35,Mercure Padang
505,Manaquiri,BR,80.6,thunderstorm,-3.32,-60.35,فندق الدويم
509,Kiunga,PG,79.05,broken clouds,-6.12,141.29,Airport Lodge Kiunga
513,Port Keats,AU,86.58,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
517,Wawa,NG,81.27,clear sky,9.9,4.42,Penginapan Kim
520,Pitimbu,BR,78.8,few clouds,-7.47,-34.81,Reserva do Abiaí
524,Jacksonville Beach,US,77.0,clear sky,30.29,-81.39,Courtyard by Marriott Jacksonville Beach Oceanfront
528,Meulaboh,ID,75.69,light rain,4.14,96.13,Kost Pria
531,Pemangkat,ID,75.76,overcast clouds,1.17,108.97,Kost H.Syamsuddin
534,Maningrida,AU,85.03,overcast clouds,-12.07,134.27,Dhukurrdji Lodge
537,Roebourne,AU,88.16,light rain,-20.78,117.13,Harding River Caravan Park
538,Lodwar,KE,82.04,broken clouds,3.12,35.6,Turkwel Lodge
539,Lahaina,US,80.6,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
542,Sorong,ID,81.14,overcast clouds,-0.88,131.25,The Waigo Hotel
547,Kulhudhuffushi,MV,81.16,scattered clouds,6.62,73.07,Haajy Guest House 1
548,Sawakin,SD,77.56,clear sky,19.11,37.33,فندق الدويم
549,Mercedes,AR,86.0,clear sky,-34.65,-59.43,Posada del Inti Centro
550,Camocim,BR,80.71,few clouds,-2.9,-40.84,Hotel Ilha do Amor
553,Biak,ID,79.3,overcast clouds,-0.91,122.88,Penginapan Kim
554,Emerald,AU,80.6,overcast clouds,-23.53,148.17,The Irish Village
557,Necochea,AR,77.41,clear sky,-38.55,-58.74,dyd -mar Hotel
558,Jibuti,DJ,75.2,broken clouds,11.5,42.5,Orchid Main Camp Goubet
563,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
570,Manavalakurichi,IN,78.8,mist,8.13,77.3,Udaya Boys Hostel
572,Savannah Bight,HN,82.4,broken clouds,16.45,-85.85,Villa on Dunbar Rock
590,Mahina,PF,82.4,light rain,-17.51,-149.49,Guest Beach Bungalow Tahiti
591,Swan Hill,AU,76.23,clear sky,-35.34,143.55,Lazy River Motor Inn
592,Impfondo,CG,75.85,overcast clouds,1.64,18.07,Préfecture de la Likouala
594,Kouroussa,GN,77.59,clear sky,10.65,-9.88,Hotel Tando Plus
595,Oum Hadjer,TD,76.98,few clouds,13.3,19.7,Enon Beach Resort
597,Marsh Harbour,BS,75.61,broken clouds,26.54,-77.06,Abaco Beach Resort
599,Poum,NC,81.23,moderate rain,-20.23,164.02,Gîte kajeon
604,Ewa Beach,US,80.6,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
606,Pontianak,ID,76.55,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
610,Lekoni,GA,75.69,overcast clouds,-1.58,14.26,Rendez-vous Des ChasseursD
614,Carauari,BR,79.61,light rain,-4.88,-66.9,Pousada Lobo
615,Camacari,BR,82.4,scattered clouds,-12.7,-38.32,Sítio Blasi
622,Merritt Island,US,75.2,scattered clouds,28.54,-80.67,Requinte Hotel
623,Vao,NC,78.91,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
625,Dingle,PH,76.78,heavy intensity rain,11.0,122.67,SEGAYA PROPERTY
633,Tual,ID,83.21,moderate rain,-5.67,132.75,Grand Vilia Hotel
