City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Cockburn Town,TC,21.46,-71.14,77.0,61,40,14.99,scattered clouds
253,Vaini,TO,-21.2,-175.2,80.6,88,75,10.29,light rain
254,Xining,CN,36.62,101.77,7.14,75,0,3.33,clear sky
255,Husavik,IS,66.04,-17.34,44.6,65,40,16.11,scattered clouds
256,Khatanga,RU,71.97,102.5,-22.02,84,45,10.42,scattered clouds
257,Klaksvik,FO,62.23,-6.59,33.8,100,30,3.36,scattered clouds
258,Ribeira Grande,PT,38.52,-28.7,60.64,88,100,31.18,moderate rain
259,Coracao De Jesus,BR,-16.69,-44.37,69.96,86,92,5.59,light rain
260,Newark,US,40.74,-74.17,44.6,56,75,10.29,broken clouds
261,Hirado,JP,33.36,129.55,43.0,59,40,6.93,scattered clouds
262,Comodoro Rivadavia,AR,-45.87,-67.5,91.4,29,40,16.11,scattered clouds
263,Gillette,US,44.29,-105.5,39.2,48,90,12.75,light snow
264,Airai,TL,-8.93,125.41,66.65,98,55,0.43,broken clouds
265,Wuwei,CN,37.93,102.64,12.65,79,0,2.33,clear sky
266,Merauke,ID,-8.47,140.33,82.94,76,59,7.94,broken clouds
267,Soyo,AO,-6.13,12.37,78.42,88,85,9.44,overcast clouds
268,Betong,TH,5.77,101.07,71.19,95,100,0.65,light rain
269,Port Lincoln,AU,-34.73,135.87,65.48,75,100,14.34,overcast clouds
270,La Palma,US,33.85,-118.05,66.2,48,1,8.05,clear sky
271,Tambopata,PE,-12.73,-69.18,79.97,78,90,1.36,light rain
272,Leopoldina,BR,-21.53,-42.64,72.0,99,100,1.83,light rain
273,Keti Bandar,PK,24.14,67.45,58.6,30,0,8.81,clear sky
274,High Rock,BS,26.62,-78.28,77.0,73,75,10.29,broken clouds
275,Sosua,DO,19.77,-70.52,77.0,88,20,12.75,few clouds
276,Severo-Kurilsk,RU,50.68,156.12,26.29,92,100,32.26,overcast clouds
277,Talnakh,RU,69.49,88.4,-13.0,83,90,17.9,light snow
278,Salta,AR,-24.79,-65.41,78.8,54,40,6.93,shower rain
279,San Andres,CO,12.58,-81.7,80.6,83,40,16.11,light rain
280,Pringsewu,ID,-5.36,104.97,72.93,90,79,0.74,light rain
281,Voyvozh,RU,62.89,54.96,1.63,93,100,9.17,overcast clouds
282,Olafsvik,IS,64.89,-23.71,43.59,95,100,22.48,overcast clouds
283,Rock Springs,US,41.59,-109.2,28.4,63,75,20.8,broken clouds
284,Goundi,TD,9.36,17.37,75.38,24,67,2.86,broken clouds
285,Bowen,AU,-20.02,148.23,82.4,74,75,8.05,broken clouds
286,Leh,IN,34.17,77.58,5.27,62,80,0.96,broken clouds
287,Ponta Do Sol,PT,32.67,-17.1,59.0,67,75,10.29,broken clouds
288,Vestmannaeyjar,IS,63.44,-20.27,46.22,95,100,15.32,overcast clouds
289,Qarchi Gak,AF,37.04,66.79,23.0,85,90,2.24,fog
290,Hobyo,SO,5.35,48.53,76.24,74,17,18.28,few clouds
291,Colesberg,ZA,-30.72,25.1,61.74,75,1,8.97,clear sky
292,North Bend,US,43.41,-124.22,54.0,87,90,18.34,mist
293,Mantua,IT,45.17,10.78,45.0,93,100,13.0,overcast clouds
294,Rocha,UY,-34.48,-54.33,63.52,67,0,8.66,clear sky
295,Ziarat,PK,30.38,67.73,26.6,62,0,3.65,clear sky
296,Poitiers,FR,46.58,0.33,35.01,99,90,3.36,overcast clouds
297,Ankazoabo,MG,-22.28,44.52,76.73,64,0,9.17,clear sky
298,Bilibino,RU,68.05,166.44,-10.8,84,100,4.36,overcast clouds
299,Plettenberg Bay,ZA,-34.05,23.37,66.0,86,0,2.77,clear sky
300,Galesong,ID,-5.32,119.37,75.2,94,40,3.36,light rain
301,Tornio,FI,65.85,24.15,19.4,92,90,11.41,overcast clouds
302,Xingcheng,CN,40.62,120.72,10.36,81,0,2.75,clear sky
303,Rawson,AR,-43.3,-65.1,82.8,23,0,18.25,clear sky
304,Victoria,HK,22.29,114.16,59.0,55,24,11.7,few clouds
305,Namatanai,PG,-3.67,152.43,84.43,66,99,4.45,overcast clouds
306,Jinchang,CN,38.5,102.17,13.39,80,0,2.62,clear sky
307,Gore,NZ,-46.1,168.94,53.01,97,100,5.99,overcast clouds
308,Pirgos,GR,35.12,25.72,61.0,75,99,1.9,overcast clouds
309,Isangel,VU,-19.55,169.27,80.6,88,90,11.41,light intensity shower rain
310,Puerto Penasco,MX,31.32,-113.53,68.0,19,20,9.17,few clouds
311,Changji,CN,44.02,87.32,3.2,84,75,2.24,light snow
312,Honningsvag,NO,70.98,25.97,29.39,92,32,9.8,scattered clouds
313,Beringovskiy,RU,63.05,179.32,17.56,97,100,24.92,snow
314,Sirjan,IR,29.45,55.68,32.76,69,0,4.47,clear sky
315,Sechura,PE,-5.56,-80.82,78.57,52,23,15.21,few clouds
316,Saint-Joseph,RE,-21.37,55.62,77.0,69,0,17.22,clear sky
317,Meridian,US,43.61,-116.39,45.0,81,1,6.93,clear sky
318,Santa Barbara,US,34.73,-120.03,62.6,48,1,11.41,clear sky
319,Murwillumbah,AU,-28.32,153.4,81.0,69,90,2.24,light rain
320,Muhos,FI,64.81,25.99,19.4,85,20,9.17,light snow
321,Coolum Beach,AU,-26.53,153.1,82.99,71,16,7.2,few clouds
322,Sensenti,HN,14.48,-88.93,82.4,54,20,11.41,few clouds
323,Nanchang,CN,28.68,115.88,38.28,76,22,2.89,few clouds
324,Winnemucca,US,40.97,-117.74,46.4,49,90,11.41,overcast clouds
325,Asau,RO,46.43,26.4,41.0,100,0,12.75,fog
326,Portland,US,45.52,-122.68,51.01,89,100,7.0,light rain
327,Aldan,RU,58.6,125.39,-25.31,85,100,5.75,overcast clouds
328,Yantal,RU,56.85,105.25,-18.17,84,100,5.77,overcast clouds
329,Banda Aceh,ID,5.56,95.32,77.52,82,99,12.73,overcast clouds
330,Strezhevoy,RU,60.73,77.59,-34.6,73,0,4.47,clear sky
331,Vidim,RU,56.41,103.11,-20.09,86,100,7.45,overcast clouds
332,Fortuna,US,40.6,-124.16,55.99,81,90,9.17,overcast clouds
333,Klyuchi,RU,52.27,79.17,-31.49,84,4,4.68,clear sky
334,Kyabe,TD,9.45,18.94,76.48,21,93,4.45,overcast clouds
335,Hay River,CA,60.82,-115.8,-5.8,70,100,8.05,light snow
336,Bairiki,KI,1.33,172.98,84.2,79,40,11.41,scattered clouds
